"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Yavapai County, AZ","04025","Small Metro","4","2020","2020",19,240226,7.9,4.8,12.4
,"Yavapai County, AZ","04025","Small Metro","4","2021","2021",19,242253,7.8,4.7,12.2
,"Yavapai County, AZ","04025","Small Metro","4","2022","2022",21,Not Available,Not Available,Not Available,Not Available
,"Yavapai County, AZ","04025","Small Metro","4","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Benton County, AR","05007","Medium Metro","3","2018","2018",16,272608,5.9,3.4,9.5
,"Benton County, AR","05007","Medium Metro","3","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"Benton County, AR","05007","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Garland County, AR","05051","Small Metro","4","2018","2018",10,99154,10.1,4.8,18.5
,"Garland County, AR","05051","Small Metro","4","2020","2020",13,99789,13.0,6.9,22.3
,"Pulaski County, AR","05119","Medium Metro","3","2018","2018",19,392680,4.8,2.9,7.6
,"Pulaski County, AR","05119","Medium Metro","3","2019","2019",17,391911,4.3,2.5,6.9
,"Pulaski County, AR","05119","Medium Metro","3","2020","2020",14,392980,3.6,1.9,6.0
,"Pulaski County, AR","05119","Medium Metro","3","2021","2021",14,397821,3.5,1.9,5.9
,"Pulaski County, AR","05119","Medium Metro","3","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2018","2018",22,1666753,1.3,0.8,2.0
,"Alameda County, CA","06001","Large Central Metro","1","2019","2019",28,1671329,1.7,1.1,2.4
,"Alameda County, CA","06001","Large Central Metro","1","2020","2020",30,1662323,1.8,1.2,2.6
,"Alameda County, CA","06001","Large Central Metro","1","2021","2021",41,1648556,2.5,1.8,3.4
,"Alameda County, CA","06001","Large Central Metro","1","2022","2022",31,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2023","2023",41,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2024 ","2024",32,Not Available,Not Available,Not Available,Not Available
,"Butte County, CA","06007","Small Metro","4","2018","2018",13,231256,5.6,3.0,9.6
,"Butte County, CA","06007","Small Metro","4","2021","2021",19,208309,9.1,5.5,14.2
,"Butte County, CA","06007","Small Metro","4","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Butte County, CA","06007","Small Metro","4","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Butte County, CA","06007","Small Metro","4","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2018","2018",40,1150215,3.5,2.5,4.7
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2019","2019",27,1153526,2.3,1.5,3.4
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2020","2020",23,1152333,2.0,1.3,3.0
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2021","2021",17,1161413,1.5,0.9,2.3
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"El Dorado County, CA","06017","Large Fringe Metro","2","2020","2020",13,192925,6.7,3.6,11.5
,"El Dorado County, CA","06017","Large Fringe Metro","2","2021","2021",17,193221,8.8,5.1,14.1
,"El Dorado County, CA","06017","Large Fringe Metro","2","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2018","2018",22,994400,2.2,1.4,3.3
,"Fresno County, CA","06019","Large Central Metro","1","2019","2019",17,999101,1.7,1.0,2.7
,"Fresno County, CA","06019","Large Central Metro","1","2020","2020",13,1000918,1.3,0.7,2.2
,"Fresno County, CA","06019","Large Central Metro","1","2021","2021",17,1013581,1.7,1.0,2.7
,"Fresno County, CA","06019","Large Central Metro","1","2022","2022",21,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2023","2023",21,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2024 ","2024",30,Not Available,Not Available,Not Available,Not Available
,"Humboldt County, CA","06023","Micropolitan (Nonmetro)","5","2018","2018",12,136373,8.8,4.5,15.4
,"Humboldt County, CA","06023","Micropolitan (Nonmetro)","5","2019","2019",11,135558,8.1,4.1,14.5
,"Humboldt County, CA","06023","Micropolitan (Nonmetro)","5","2020","2020",13,134977,9.6,5.1,16.5
,"Humboldt County, CA","06023","Micropolitan (Nonmetro)","5","2021","2021",19,136310,13.9,8.4,21.8
,"Humboldt County, CA","06023","Micropolitan (Nonmetro)","5","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2018","2018",45,896764,5.0,3.7,6.7
,"Kern County, CA","06029","Medium Metro","3","2019","2019",34,900202,3.8,2.6,5.3
,"Kern County, CA","06029","Medium Metro","3","2020","2020",58,901362,6.4,4.9,8.3
,"Kern County, CA","06029","Medium Metro","3","2021","2021",65,917673,7.1,5.5,9.0
,"Kern County, CA","06029","Medium Metro","3","2022","2022",49,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2023","2023",34,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2024 ","2024",34,Not Available,Not Available,Not Available,Not Available
,"Lake County, CA","06033","Micropolitan (Nonmetro)","5","2018","2018",14,64382,21.7,11.9,36.5
,"Lake County, CA","06033","Micropolitan (Nonmetro)","5","2019","2019",12,64386,18.6,9.6,32.6
,"Lake County, CA","06033","Micropolitan (Nonmetro)","5","2021","2021",12,68766,17.5,9.0,30.5
,"Lake County, CA","06033","Micropolitan (Nonmetro)","5","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2018","2018",185,10105518,1.8,1.6,2.1
,"Los Angeles County, CA","06037","Large Central Metro","1","2019","2019",160,10039107,1.6,1.3,1.8
,"Los Angeles County, CA","06037","Large Central Metro","1","2020","2020",156,9943046,1.6,1.3,1.8
,"Los Angeles County, CA","06037","Large Central Metro","1","2021","2021",146,9829544,1.5,1.2,1.7
,"Los Angeles County, CA","06037","Large Central Metro","1","2022","2022",147,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2023","2023",114,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2024 ","2024",113,Not Available,Not Available,Not Available,Not Available
,"Marin County, CA","06041","Large Fringe Metro","2","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Mendocino County, CA","06045","Micropolitan (Nonmetro)","5","2018","2018",10,87606,11.4,5.5,21.0
,"Mendocino County, CA","06045","Micropolitan (Nonmetro)","5","2021","2021",14,91305,15.3,8.4,25.7
,"Merced County, CA","06047","Medium Metro","3","2018","2018",10,274765,3.6,1.7,6.7
,"Merced County, CA","06047","Medium Metro","3","2019","2019",13,277680,4.7,2.5,8.0
,"Nevada County, CA","06057","Micropolitan (Nonmetro)","5","2021","2021",14,103487,13.5,7.4,22.7
,"Orange County, CA","06059","Large Central Metro","1","2018","2018",98,3185968,3.1,2.5,3.7
,"Orange County, CA","06059","Large Central Metro","1","2019","2019",90,3175692,2.8,2.3,3.5
,"Orange County, CA","06059","Large Central Metro","1","2020","2020",116,3166857,3.7,3.0,4.3
,"Orange County, CA","06059","Large Central Metro","1","2021","2021",123,3167809,3.9,3.2,4.6
,"Orange County, CA","06059","Large Central Metro","1","2022","2022",96,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2023","2023",67,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2024 ","2024",69,Not Available,Not Available,Not Available,Not Available
,"Placer County, CA","06061","Large Fringe Metro","2","2019","2019",15,398329,3.8,2.1,6.2
,"Placer County, CA","06061","Large Fringe Metro","2","2020","2020",10,402950,2.5,1.2,4.6
,"Placer County, CA","06061","Large Fringe Metro","2","2021","2021",12,412300,2.9,1.5,5.1
,"Placer County, CA","06061","Large Fringe Metro","2","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2018","2018",24,2450758,1.0,0.6,1.5
,"Riverside County, CA","06065","Large Central Metro","1","2019","2019",46,2470546,1.9,1.4,2.5
,"Riverside County, CA","06065","Large Central Metro","1","2020","2020",69,2489188,2.8,2.2,3.5
,"Riverside County, CA","06065","Large Central Metro","1","2021","2021",66,2458395,2.7,2.1,3.4
,"Riverside County, CA","06065","Large Central Metro","1","2022","2022",61,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2023","2023",51,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2024 ","2024",46,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2018","2018",27,1540975,1.8,1.2,2.5
,"Sacramento County, CA","06067","Large Central Metro","1","2019","2019",48,1552058,3.1,2.3,4.1
,"Sacramento County, CA","06067","Large Central Metro","1","2020","2020",31,1559146,2.0,1.4,2.8
,"Sacramento County, CA","06067","Large Central Metro","1","2021","2021",67,1588921,4.2,3.3,5.4
,"Sacramento County, CA","06067","Large Central Metro","1","2022","2022",43,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2023","2023",24,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2024 ","2024",26,Not Available,Not Available,Not Available,Not Available
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2018","2018",19,2171603,0.9,0.5,1.4
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2019","2019",21,2180085,1.0,0.6,1.5
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2020","2020",20,2189183,0.9,0.6,1.4
