"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","Large Central Metro","1","2020","2020",299,9943046,3.0,2.7,3.3
,"Los Angeles County, CA","06037","Large Central Metro","1","2021","2021",192,9829544,2.0,1.7,2.2
,"Los Angeles County, CA","06037","Large Central Metro","1","2022","2022",163,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2023","2023",122,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2024 ","2024",79,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2018","2018",90,3185968,2.8,2.3,3.5
,"Orange County, CA","06059","Large Central Metro","1","2019","2019",76,3175692,2.4,1.9,3.0
,"Orange County, CA","06059","Large Central Metro","1","2020","2020",69,3166857,2.2,1.7,2.8
,"Orange County, CA","06059","Large Central Metro","1","2021","2021",53,3167809,1.7,1.3,2.2
,"Orange County, CA","06059","Large Central Metro","1","2022","2022",19,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2024 ","2024",11,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2018","2018",70,2450758,2.9,2.2,3.6
,"Riverside County, CA","06065","Large Central Metro","1","2019","2019",80,2470546,3.2,2.6,4.0
,"Riverside County, CA","06065","Large Central Metro","1","2020","2020",97,2489188,3.9,3.2,4.8
,"Riverside County, CA","06065","Large Central Metro","1","2021","2021",78,2458395,3.2,2.5,4.0
,"Riverside County, CA","06065","Large Central Metro","1","2022","2022",41,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2023","2023",32,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2024 ","2024",22,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2018","2018",16,1540975,1.0,0.6,1.7
,"Sacramento County, CA","06067","Large Central Metro","1","2019","2019",30,1552058,1.9,1.3,2.8
,"Sacramento County, CA","06067","Large Central Metro","1","2020","2020",27,1559146,1.7,1.1,2.5
,"Sacramento County, CA","06067","Large Central Metro","1","2021","2021",37,1588921,2.3,1.6,3.2
,"Sacramento County, CA","06067","Large Central Metro","1","2022","2022",22,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2024 ","2024",11,Not Available,Not Available,Not Available,Not Available
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2018","2018",50,2171603,2.3,1.7,3.0
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2019","2019",36,2180085,1.7,1.2,2.3
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2020","2020",60,2189183,2.7,2.1,3.5
,"San Bernardino County, CA","06071","Large Fringe Metro","2","2021","2021",50,2194710,2.3,1.7,3.0
