"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","Black or African American","2054-5","2022","2022",18,874156,2.1,1.2,3.3
,"Los Angeles County, CA","06037","Black or African American","2054-5","2023","2023",13,872149,1.5,0.8,2.5
,"Los Angeles County, CA","06037","White","2106-3","2018","2018",151,7151444,2.1,1.8,2.4
,"Los Angeles County, CA","06037","White","2106-3","2019","2019",205,7098309,2.9,2.5,3.3
,"Los Angeles County, CA","06037","White","2106-3","2020","2020",253,6981210,3.6,3.2,4.1
,"Los Angeles County, CA","06037","White","2106-3","2021","2021",166,6901193,2.4,2.0,2.8
,"Los Angeles County, CA","06037","White","2106-3","2022","2022",138,6802138,2.0,1.7,2.4
,"Los Angeles County, CA","06037","White","2106-3","2023","2023",104,6725032,1.5,1.2,1.8
,"Los Angeles County, CA","06037","White","2106-3","2024 ","2024",68,6756981,1.0,0.8,1.3
,"Orange County, CA","06059","White","2106-3","2018","2018",81,2278624,3.6,2.8,4.4
,"Orange County, CA","06059","White","2106-3","2019","2019",72,2258705,3.2,2.5,4.0
,"Orange County, CA","06059","White","2106-3","2020","2020",64,2221855,2.9,2.2,3.7
,"Orange County, CA","06059","White","2106-3","2021","2021",48,2208819,2.2,1.6,2.9
,"Orange County, CA","06059","White","2106-3","2022","2022",17,2177457,0.8,0.5,1.3
,"Orange County, CA","06059","White","2106-3","2023","2023",15,2152849,0.7,0.4,1.1
,"Orange County, CA","06059","White","2106-3","2024 ","2024",10,2154407,0.5,0.2,0.9
,"Riverside County, CA","06065","White","2106-3","2018","2018",65,1954479,3.3,2.6,4.2
,"Riverside County, CA","06065","White","2106-3","2019","2019",75,1966247,3.8,3.0,4.8
,"Riverside County, CA","06065","White","2106-3","2020","2020",84,1966058,4.3,3.4,5.3
,"Riverside County, CA","06065","White","2106-3","2021","2021",71,1935002,3.7,2.9,4.6
,"Riverside County, CA","06065","White","2106-3","2022","2022",37,1939198,1.9,1.3,2.6
,"Riverside County, CA","06065","White","2106-3","2023","2023",26,1943144,1.3,0.9,2.0
,"Riverside County, CA","06065","White","2106-3","2024 ","2024",19,1963714,1.0,0.6,1.5
,"Sacramento County, CA","06067","White","2106-3","2018","2018",15,970616,1.5,0.9,2.5
,"Sacramento County, CA","06067","White","2106-3","2019","2019",22,973964,2.3,1.4,3.4
,"Sacramento County, CA","06067","White","2106-3","2020","2020",22,965223,2.3,1.4,3.5
,"Sacramento County, CA","06067","White","2106-3","2021","2021",29,976007,3.0,2.0,4.3
,"Sacramento County, CA","06067","White","2106-3","2022","2022",18,964330,1.9,1.1,3.0
,"San Bernardino County, CA","06071","White","2106-3","2018","2018",46,1666544,2.8,2.0,3.7
,"San Bernardino County, CA","06071","White","2106-3","2019","2019",33,1668976,2.0,1.4,2.8
,"San Bernardino County, CA","06071","White","2106-3","2020","2020",48,1659869,2.9,2.1,3.8
