"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Benton County, AR","05007","White","2106-3","2022","2022",13,264315,4.9,2.6,8.4
,"Benton County, AR","05007","White","2106-3","2023","2023",10,270913,3.7,1.8,6.8
,"Garland County, AR","05051","White","2106-3","2020","2020",10,86688,11.5,5.5,21.2
,"Pulaski County, AR","05119","White","2106-3","2018","2018",16,225615,7.1,4.1,11.5
,"Pulaski County, AR","05119","White","2106-3","2019","2019",11,223996,4.9,2.5,8.8
,"Pulaski County, AR","05119","White","2106-3","2021","2021",10,224697,4.5,2.1,8.2
,"Pulaski County, AR","05119","White","2106-3","2022","2022",15,223855,6.7,3.8,11.1
,"Alameda County, CA","06001","Black or African American","2054-5","2020","2020",11,180087,6.1,3.0,10.9
,"Alameda County, CA","06001","Black or African American","2054-5","2021","2021",13,176233,7.4,3.9,12.6
,"Alameda County, CA","06001","Black or African American","2054-5","2022","2022",21,175067,12.0,7.4,18.3
,"Alameda County, CA","06001","Black or African American","2054-5","2023","2023",14,171069,8.2,4.5,13.7
,"Alameda County, CA","06001","Black or African American","2054-5","2024 ","2024",13,169854,7.7,4.1,13.1
,"Alameda County, CA","06001","White","2106-3","2018","2018",12,828966,1.4,0.7,2.5
,"Alameda County, CA","06001","White","2106-3","2019","2019",17,823593,2.1,1.2,3.3
,"Alameda County, CA","06001","White","2106-3","2020","2020",17,804234,2.1,1.2,3.4
,"Alameda County, CA","06001","White","2106-3","2021","2021",24,788303,3.0,2.0,4.5
,"Alameda County, CA","06001","White","2106-3","2023","2023",18,764391,2.4,1.4,3.7
,"Alameda County, CA","06001","White","2106-3","2024 ","2024",10,762548,1.3,0.6,2.4
,"Butte County, CA","06007","White","2106-3","2018","2018",13,198672,6.5,3.5,11.2
,"Butte County, CA","06007","White","2106-3","2021","2021",18,176639,10.2,6.0,16.1
