"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Clark County, NV","32003","Not Available","10","2020","2020",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Atlantic County, NJ","34001","Not Available","10","2019","2019",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Atlantic County, NJ","34001","Not Available","10","2020","2020",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Camden County, NJ","34007","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Camden County, NJ","34007","Not Available","10","2019","2019",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Camden County, NJ","34007","Not Available","10","2020","2020",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","High school graduate or GED completed","3","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","High school graduate or GED completed","3","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","High school graduate or GED completed","3","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","Not Available","10","2018","2018",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Essex County, NJ","34013","Not Available","10","2020","2020",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Middlesex County, NJ","34023","High school graduate or GED completed","3","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Middlesex County, NJ","34023","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Middlesex County, NJ","34023","Not Available","10","2018","2018",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monmouth County, NJ","34025","High school graduate or GED completed","3","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monmouth County, NJ","34025","Not Available","10","2018","2018",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monmouth County, NJ","34025","Not Available","10","2019","2019",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monmouth County, NJ","34025","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ocean County, NJ","34029","Not Available","10","2018","2018",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ocean County, NJ","34029","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Union County, NJ","34039","Not Available","10","2020","2020",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","High school graduate or GED completed","3","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","High school graduate or GED completed","3","2024 ","2024",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","Not Available","10","2018","2018",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","Not Available","10","2019","2019",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bernalillo County, NM","35001","Not Available","10","2020","2020",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","8th grade or less","1","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","8th grade or less","1","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","8th grade or less","1","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","9th through 12th grade with no diploma","2","2021","2021",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","9th through 12th grade with no diploma","2","2022","2022",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","9th through 12th grade with no diploma","2","2023","2023",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","9th through 12th grade with no diploma","2","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","High school graduate or GED completed","3","2021","2021",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","High school graduate or GED completed","3","2022","2022",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","High school graduate or GED completed","3","2023","2023",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","High school graduate or GED completed","3","2024 ","2024",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Some college credit, but not a degree.","4","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Unknown or Not Stated","9","2021","2021",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Unknown or Not Stated","9","2022","2022",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Unknown or Not Stated","9","2023","2023",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Unknown or Not Stated","9","2024 ","2024",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Not Available","10","2018","2018",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Not Available","10","2019","2019",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Bronx County, NY","36005","Not Available","10","2020","2020",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Erie County, NY","36029","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Erie County, NY","36029","High school graduate or GED completed","3","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Erie County, NY","36029","High school graduate or GED completed","3","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Erie County, NY","36029","Not Available","10","2019","2019",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Erie County, NY","36029","Not Available","10","2020","2020",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","9th through 12th grade with no diploma","2","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","9th through 12th grade with no diploma","2","2023","2023",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","9th through 12th grade with no diploma","2","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","High school graduate or GED completed","3","2021","2021",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","High school graduate or GED completed","3","2022","2022",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","High school graduate or GED completed","3","2023","2023",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","High school graduate or GED completed","3","2024 ","2024",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","Some college credit, but not a degree.","4","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","Unknown or Not Stated","9","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","Not Available","10","2018","2018",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","Not Available","10","2019","2019",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kings County, NY","36047","Not Available","10","2020","2020",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monroe County, NY","36055","Not Available","10","2018","2018",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monroe County, NY","36055","Not Available","10","2020","2020",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
