"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"St. Clair County, AL","01115","High school graduate or GED completed","3","2023","2023",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"St. Clair County, AL","01115","Not Available","10","2020","2020",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","High school graduate or GED completed","3","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","High school graduate or GED completed","3","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","High school graduate or GED completed","3","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","Not Available","10","2020","2020",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tuscaloosa County, AL","01125","High school graduate or GED completed","3","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tuscaloosa County, AL","01125","High school graduate or GED completed","3","2022","2022",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tuscaloosa County, AL","01125","High school graduate or GED completed","3","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tuscaloosa County, AL","01125","Not Available","10","2019","2019",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tuscaloosa County, AL","01125","Not Available","10","2020","2020",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Walker County, AL","01127","High school graduate or GED completed","3","2022","2022",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Walker County, AL","01127","High school graduate or GED completed","3","2023","2023",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Walker County, AL","01127","High school graduate or GED completed","3","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","9th through 12th grade with no diploma","2","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","9th through 12th grade with no diploma","2","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","9th through 12th grade with no diploma","2","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","9th through 12th grade with no diploma","2","2024 ","2024",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2021","2021",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2022","2022",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2023","2023",75,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2024 ","2024",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Some college credit, but not a degree.","4","2021","2021",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Some college credit, but not a degree.","4","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Some college credit, but not a degree.","4","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2018","2018",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2019","2019",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2020","2020",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fairbanks North Star Borough, AK","02090","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kenai Peninsula Borough, AK","02122","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Matanuska-Susitna Borough, AK","02170","High school graduate or GED completed","3","2021","2021",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Matanuska-Susitna Borough, AK","02170","High school graduate or GED completed","3","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Matanuska-Susitna Borough, AK","02170","High school graduate or GED completed","3","2023","2023",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Matanuska-Susitna Borough, AK","02170","High school graduate or GED completed","3","2024 ","2024",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Matanuska-Susitna Borough, AK","02170","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apache County, AZ","04001","Not Available","10","2020","2020",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cochise County, AZ","04003","High school graduate or GED completed","3","2021","2021",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cochise County, AZ","04003","High school graduate or GED completed","3","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cochise County, AZ","04003","Not Available","10","2018","2018",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
