"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","Female","F","2023","2023",28,4882779,0.6,0.4,0.8
,"Los Angeles County, CA","06037","Female","F","2024 ","2024",10,4931259,0.2,0.1,0.4
,"Los Angeles County, CA","06037","Male","M","2018","2018",148,4981895,3.0,2.5,3.4
,"Los Angeles County, CA","06037","Male","M","2019","2019",195,4949041,3.9,3.4,4.5
,"Los Angeles County, CA","06037","Male","M","2020","2020",239,4901414,4.9,4.3,5.5
,"Los Angeles County, CA","06037","Male","M","2021","2021",158,4870802,3.2,2.7,3.7
,"Los Angeles County, CA","06037","Male","M","2022","2022",133,4826280,2.8,2.3,3.2
,"Los Angeles County, CA","06037","Male","M","2023","2023",94,4780566,2.0,1.6,2.4
,"Los Angeles County, CA","06037","Male","M","2024 ","2024",69,4825920,1.4,1.1,1.8
,"Orange County, CA","06059","Female","F","2018","2018",20,1613167,1.2,0.8,1.9
,"Orange County, CA","06059","Female","F","2020","2020",12,1604655,0.7,0.4,1.3
,"Orange County, CA","06059","Female","F","2021","2021",11,1596464,0.7,0.3,1.2
,"Orange County, CA","06059","Male","M","2018","2018",70,1572801,4.5,3.5,5.6
,"Orange County, CA","06059","Male","M","2019","2019",67,1566825,4.3,3.3,5.4
,"Orange County, CA","06059","Male","M","2020","2020",57,1562202,3.6,2.8,4.7
,"Orange County, CA","06059","Male","M","2021","2021",42,1571345,2.7,1.9,3.6
,"Orange County, CA","06059","Male","M","2022","2022",15,1564652,1.0,0.5,1.6
,"Orange County, CA","06059","Male","M","2023","2023",14,1551761,0.9,0.5,1.5
,"Riverside County, CA","06065","Female","F","2018","2018",11,1229383,0.9,0.4,1.6
,"Riverside County, CA","06065","Female","F","2019","2019",19,1238534,1.5,0.9,2.4
,"Riverside County, CA","06065","Female","F","2020","2020",19,1246161,1.5,0.9,2.4
,"Riverside County, CA","06065","Female","F","2021","2021",13,1223670,1.1,0.6,1.8
,"Riverside County, CA","06065","Male","M","2018","2018",59,1221375,4.8,3.7,6.2
,"Riverside County, CA","06065","Male","M","2019","2019",61,1232012,5.0,3.8,6.4
,"Riverside County, CA","06065","Male","M","2020","2020",78,1243027,6.3,5.0,7.8
,"Riverside County, CA","06065","Male","M","2021","2021",65,1234725,5.3,4.1,6.7
,"Riverside County, CA","06065","Male","M","2022","2022",36,1243923,2.9,2.0,4.0
,"Riverside County, CA","06065","Male","M","2023","2023",25,1250461,2.0,1.3,3.0
,"Riverside County, CA","06065","Male","M","2024 ","2024",16,1268804,1.3,0.7,2.0
,"Sacramento County, CA","06067","Female","F","2021","2021",10,806810,1.2,0.6,2.3
,"Sacramento County, CA","06067","Male","M","2018","2018",14,752972,1.9,1.0,3.1
,"Sacramento County, CA","06067","Male","M","2019","2019",22,758897,2.9,1.8,4.4
,"Sacramento County, CA","06067","Male","M","2020","2020",22,763199,2.9,1.8,4.4
,"Sacramento County, CA","06067","Male","M","2021","2021",27,782111,3.5,2.3,5.0
,"Sacramento County, CA","06067","Male","M","2022","2022",15,781715,1.9,1.1,3.2
,"San Bernardino County, CA","06071","Female","F","2021","2021",14,1096202,1.3,0.7,2.1
,"San Bernardino County, CA","06071","Male","M","2018","2018",42,1080950,3.9,2.8,5.3
,"San Bernardino County, CA","06071","Male","M","2019","2019",27,1085607,2.5,1.6,3.6
,"San Bernardino County, CA","06071","Male","M","2020","2020",51,1090578,4.7,3.5,6.1
,"San Bernardino County, CA","06071","Male","M","2021","2021",36,1098508,3.3,2.3,4.5
,"San Bernardino County, CA","06071","Male","M","2022","2022",15,1101641,1.4,0.8,2.2
,"San Diego County, CA","06073","Female","F","2018","2018",13,1660915,0.8,0.4,1.3
,"San Diego County, CA","06073","Female","F","2019","2019",27,1658313,1.6,1.1,2.4
,"San Diego County, CA","06073","Female","F","2020","2020",19,1652586,1.1,0.7,1.8
,"San Diego County, CA","06073","Female","F","2021","2021",17,1621107,1.0,0.6,1.7
,"San Diego County, CA","06073","Male","M","2018","2018",74,1682449,4.4,3.5,5.5
,"San Diego County, CA","06073","Male","M","2019","2019",86,1680017,5.1,4.1,6.3
,"San Diego County, CA","06073","Male","M","2020","2020",77,1679841,4.6,3.6,5.7
,"San Diego County, CA","06073","Male","M","2021","2021",47,1664962,2.8,2.1,3.8
,"San Diego County, CA","06073","Male","M","2022","2022",13,1660496,0.8,0.4,1.3
,"San Diego County, CA","06073","Male","M","2023","2023",10,1652157,0.6,0.3,1.1
,"San Francisco County, CA","06075","Female","F","2019","2019",14,432328,3.2,1.8,5.4
,"San Francisco County, CA","06075","Female","F","2020","2020",14,424968,3.3,1.8,5.5
,"San Francisco County, CA","06075","Female","F","2021","2021",12,398294,3.0,1.6,5.3
,"San Francisco County, CA","06075","Female","F","2022","2022",19,393003,4.8,2.9,7.5
,"San Francisco County, CA","06075","Female","F","2023","2023",10,393661,2.5,1.2,4.7
,"San Francisco County, CA","06075","Male","M","2018","2018",38,450363,8.4,6.0,11.6
,"San Francisco County, CA","06075","Male","M","2019","2019",56,449221,12.5,9.4,16.2
,"San Francisco County, CA","06075","Male","M","2020","2020",49,441638,11.1,8.2,14.7
,"San Francisco County, CA","06075","Male","M","2021","2021",53,416907,12.7,9.5,16.6
,"San Francisco County, CA","06075","Male","M","2022","2022",32,415434,7.7,5.3,10.9
,"San Francisco County, CA","06075","Male","M","2023","2023",22,415327,5.3,3.3,8.0
,"San Francisco County, CA","06075","Male","M","2024 ","2024",25,424455,5.9,3.8,8.7
,"San Joaquin County, CA","06077","Male","M","2018","2018",10,375136,2.7,1.3,4.9
,"San Joaquin County, CA","06077","Male","M","2021","2021",16,396096,4.0,2.3,6.6
,"Santa Clara County, CA","06085","Female","F","2019","2019",13,951005,1.4,0.7,2.3
,"Santa Clara County, CA","06085","Male","M","2018","2018",12,980868,1.2,0.6,2.1
,"Santa Clara County, CA","06085","Male","M","2019","2019",28,976847,2.9,1.9,4.1
,"Santa Clara County, CA","06085","Male","M","2020","2020",23,967756,2.4,1.5,3.6
,"Santa Clara County, CA","06085","Male","M","2021","2021",13,960462,1.4,0.7,2.3
,"Santa Clara County, CA","06085","Male","M","2023","2023",11,955978,1.2,0.6,2.1
,"Santa Cruz County, CA","06087","Male","M","2018","2018",13,135725,9.6,5.1,16.4
,"Santa Cruz County, CA","06087","Male","M","2019","2019",10,135176,7.4,3.5,13.6
,"Santa Cruz County, CA","06087","Male","M","2021","2021",10,133004,7.5,3.6,13.8
,"Sonoma County, CA","06097","Male","M","2018","2018",21,244124,8.6,5.3,13.1
,"Sonoma County, CA","06097","Male","M","2019","2019",11,241221,4.6,2.3,8.2
,"Ventura County, CA","06111","Female","F","2020","2020",12,424927,2.8,1.5,4.9
,"Ventura County, CA","06111","Male","M","2018","2018",31,421319,7.4,5.0,10.4
,"Ventura County, CA","06111","Male","M","2019","2019",36,418712,8.6,6.0,11.9
,"Ventura County, CA","06111","Male","M","2020","2020",21,416460,5.0,3.1,7.7
,"Ventura County, CA","06111","Male","M","2021","2021",17,418064,4.1,2.4,6.5
,"Ventura County, CA","06111","Male","M","2023","2023",10,412112,2.4,1.2,4.5
,"Adams County, CO","08001","Male","M","2018","2018",16,258470,6.2,3.5,10.1
,"Adams County, CO","08001","Male","M","2019","2019",11,261615,4.2,2.1,7.5
,"Arapahoe County, CO","08005","Male","M","2018","2018",26,322713,8.1,5.3,11.8
,"Arapahoe County, CO","08005","Male","M","2019","2019",25,325857,7.7,5.0,11.3
,"Arapahoe County, CO","08005","Male","M","2020","2020",22,326642,6.7,4.2,10.2
,"Arapahoe County, CO","08005","Male","M","2021","2021",10,327434,3.1,1.5,5.6
,"Boulder County, CO","08013","Male","M","2019","2019",12,164297,7.3,3.8,12.8
,"Denver County, CO","08031","Male","M","2018","2018",32,359590,8.9,6.1,12.6
,"Denver County, CO","08031","Male","M","2019","2019",22,364478,6.0,3.8,9.1
,"Denver County, CO","08031","Male","M","2020","2020",22,368867,6.0,3.7,9.0
,"Denver County, CO","08031","Male","M","2021","2021",19,358381,5.3,3.2,8.3
,"El Paso County, CO","08041","Female","F","2018","2018",12,353136,3.4,1.8,5.9
,"El Paso County, CO","08041","Female","F","2020","2020",16,360260,4.4,2.5,7.2
,"El Paso County, CO","08041","Male","M","2018","2018",52,360720,14.4,10.8,18.9
,"El Paso County, CO","08041","Male","M","2019","2019",34,363854,9.3,6.5,13.1
,"El Paso County, CO","08041","Male","M","2020","2020",41,368050,11.1,8.0,15.1
,"El Paso County, CO","08041","Male","M","2021","2021",38,374858,10.1,7.2,13.9
,"El Paso County, CO","08041","Male","M","2022","2022",16,377383,4.2,2.4,6.9
