"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alameda County, CA","06001","Female","F","2024 ","2024",30,830742,3.6,2.4,5.2
,"Alameda County, CA","06001","Male","M","2018","2018",21,820045,2.6,1.6,3.9
,"Alameda County, CA","06001","Male","M","2019","2019",29,823247,3.5,2.4,5.1
,"Alameda County, CA","06001","Male","M","2020","2020",31,818610,3.8,2.6,5.4
,"Alameda County, CA","06001","Male","M","2021","2021",47,816889,5.8,4.2,7.7
,"Alameda County, CA","06001","Male","M","2022","2022",54,809336,6.7,5.0,8.7
,"Alameda County, CA","06001","Male","M","2023","2023",99,804487,12.3,10.0,15.0
,"Alameda County, CA","06001","Male","M","2024 ","2024",65,818318,7.9,6.1,10.1
,"Contra Costa County, CA","06013","Female","F","2022","2022",12,587081,2.0,1.1,3.6
,"Contra Costa County, CA","06013","Male","M","2018","2018",16,562483,2.8,1.6,4.6
,"Contra Costa County, CA","06013","Male","M","2019","2019",17,564187,3.0,1.8,4.8
,"Contra Costa County, CA","06013","Male","M","2020","2020",23,563379,4.1,2.6,6.1
,"Contra Costa County, CA","06013","Male","M","2021","2021",36,570925,6.3,4.4,8.7
,"Contra Costa County, CA","06013","Male","M","2022","2022",33,569885,5.8,4.0,8.1
,"Contra Costa County, CA","06013","Male","M","2023","2023",36,567518,6.3,4.4,8.8
,"Contra Costa County, CA","06013","Male","M","2024 ","2024",31,576642,5.4,3.7,7.6
,"Fresno County, CA","06019","Male","M","2020","2020",14,499639,2.8,1.5,4.7
,"Fresno County, CA","06019","Male","M","2021","2021",12,508597,2.4,1.2,4.1
,"Fresno County, CA","06019","Male","M","2022","2022",15,510159,2.9,1.6,4.8
,"Fresno County, CA","06019","Male","M","2023","2023",24,509699,4.7,3.0,7.0
,"Fresno County, CA","06019","Male","M","2024 ","2024",14,513097,2.7,1.5,4.6
,"Kern County, CA","06029","Female","F","2021","2021",10,446072,2.2,1.1,4.1
,"Kern County, CA","06029","Female","F","2024 ","2024",10,454664,2.2,1.1,4.0
,"Kern County, CA","06029","Male","M","2018","2018",13,459690,2.8,1.5,4.8
,"Kern County, CA","06029","Male","M","2019","2019",14,461034,3.0,1.7,5.1
,"Kern County, CA","06029","Male","M","2020","2020",17,460613,3.7,2.2,5.9
,"Kern County, CA","06029","Male","M","2021","2021",26,471601,5.5,3.6,8.1
,"Kern County, CA","06029","Male","M","2022","2022",31,468118,6.6,4.5,9.4
,"Kern County, CA","06029","Male","M","2023","2023",40,463449,8.6,6.2,11.8
,"Kern County, CA","06029","Male","M","2024 ","2024",19,467865,4.1,2.4,6.3
,"Los Angeles County, CA","06037","Female","F","2018","2018",51,5123623,1.0,0.7,1.3
,"Los Angeles County, CA","06037","Female","F","2019","2019",50,5090066,1.0,0.7,1.3
,"Los Angeles County, CA","06037","Female","F","2020","2020",72,5041632,1.4,1.1,1.8
,"Los Angeles County, CA","06037","Female","F","2021","2021",85,4958742,1.7,1.4,2.1
,"Los Angeles County, CA","06037","Female","F","2022","2022",97,4894858,2.0,1.6,2.4
,"Los Angeles County, CA","06037","Female","F","2023","2023",103,4882779,2.1,1.7,2.5
,"Los Angeles County, CA","06037","Female","F","2024 ","2024",63,4931259,1.3,1.0,1.6
,"Los Angeles County, CA","06037","Male","M","2018","2018",126,4981895,2.5,2.1,3.0
,"Los Angeles County, CA","06037","Male","M","2019","2019",182,4949041,3.7,3.1,4.2
,"Los Angeles County, CA","06037","Male","M","2020","2020",253,4901414,5.2,4.5,5.8
,"Los Angeles County, CA","06037","Male","M","2021","2021",292,4870802,6.0,5.3,6.7
,"Los Angeles County, CA","06037","Male","M","2022","2022",306,4826280,6.3,5.6,7.1
,"Los Angeles County, CA","06037","Male","M","2023","2023",340,4780566,7.1,6.4,7.9
,"Los Angeles County, CA","06037","Male","M","2024 ","2024",240,4825920,5.0,4.3,5.6
,"Marin County, CA","06041","Male","M","2022","2022",15,125816,11.9,6.7,19.7
,"Monterey County, CA","06053","Male","M","2023","2023",12,218610,5.5,2.8,9.6
,"Monterey County, CA","06053","Male","M","2024 ","2024",12,222049,5.4,2.8,9.4
,"Orange County, CA","06059","Female","F","2018","2018",10,1613167,0.6,0.3,1.1
,"Orange County, CA","06059","Female","F","2020","2020",14,1604655,0.9,0.5,1.5
,"Orange County, CA","06059","Female","F","2021","2021",11,1596464,0.7,0.3,1.2
,"Orange County, CA","06059","Female","F","2022","2022",17,1586532,1.1,0.6,1.7
,"Orange County, CA","06059","Female","F","2023","2023",22,1583994,1.4,0.9,2.1
,"Orange County, CA","06059","Male","M","2018","2018",23,1572801,1.5,0.9,2.2
,"Orange County, CA","06059","Male","M","2019","2019",35,1566825,2.2,1.6,3.1
,"Orange County, CA","06059","Male","M","2020","2020",63,1562202,4.0,3.1,5.2
,"Orange County, CA","06059","Male","M","2021","2021",57,1571345,3.6,2.7,4.7
,"Orange County, CA","06059","Male","M","2022","2022",61,1564652,3.9,3.0,5.0
,"Orange County, CA","06059","Male","M","2023","2023",50,1551761,3.2,2.4,4.2
,"Orange County, CA","06059","Male","M","2024 ","2024",54,1568713,3.4,2.6,4.5
,"Riverside County, CA","06065","Female","F","2020","2020",17,1246161,1.4,0.8,2.2
,"Riverside County, CA","06065","Female","F","2021","2021",20,1223670,1.6,1.0,2.5
,"Riverside County, CA","06065","Female","F","2022","2022",16,1229979,1.3,0.7,2.1
,"Riverside County, CA","06065","Female","F","2023","2023",20,1241981,1.6,1.0,2.5
,"Riverside County, CA","06065","Female","F","2024 ","2024",15,1261129,1.2,0.7,2.0
,"Riverside County, CA","06065","Male","M","2018","2018",22,1221375,1.8,1.1,2.7
,"Riverside County, CA","06065","Male","M","2019","2019",39,1232012,3.2,2.3,4.3
,"Riverside County, CA","06065","Male","M","2020","2020",58,1243027,4.7,3.5,6.0
,"Riverside County, CA","06065","Male","M","2021","2021",65,1234725,5.3,4.1,6.7
,"Riverside County, CA","06065","Male","M","2022","2022",68,1243923,5.5,4.2,6.9
,"Riverside County, CA","06065","Male","M","2023","2023",66,1250461,5.3,4.1,6.7
,"Riverside County, CA","06065","Male","M","2024 ","2024",61,1268804,4.8,3.7,6.2
,"Sacramento County, CA","06067","Female","F","2018","2018",10,788003,1.3,0.6,2.3
,"Sacramento County, CA","06067","Female","F","2019","2019",11,793161,1.4,0.7,2.5
,"Sacramento County, CA","06067","Female","F","2021","2021",14,806810,1.7,0.9,2.9
,"Sacramento County, CA","06067","Female","F","2022","2022",10,802454,1.2,0.6,2.3
,"Sacramento County, CA","06067","Female","F","2023","2023",18,804477,2.2,1.3,3.5
,"Sacramento County, CA","06067","Female","F","2024 ","2024",10,818021,1.2,0.6,2.2
,"Sacramento County, CA","06067","Male","M","2018","2018",20,752972,2.7,1.6,4.1
,"Sacramento County, CA","06067","Male","M","2019","2019",24,758897,3.2,2.0,4.7
,"Sacramento County, CA","06067","Male","M","2020","2020",22,763199,2.9,1.8,4.4
,"Sacramento County, CA","06067","Male","M","2021","2021",42,782111,5.4,3.9,7.3
,"Sacramento County, CA","06067","Male","M","2022","2022",42,781715,5.4,3.9,7.3
,"Sacramento County, CA","06067","Male","M","2023","2023",51,779811,6.5,4.9,8.6
,"Sacramento County, CA","06067","Male","M","2024 ","2024",41,793210,5.2,3.7,7.0
,"San Bernardino County, CA","06071","Female","F","2021","2021",10,1096202,0.9,0.4,1.7
,"San Bernardino County, CA","06071","Male","M","2018","2018",23,1080950,2.1,1.3,3.2
,"San Bernardino County, CA","06071","Male","M","2019","2019",16,1085607,1.5,0.8,2.4
,"San Bernardino County, CA","06071","Male","M","2020","2020",36,1090578,3.3,2.3,4.6
,"San Bernardino County, CA","06071","Male","M","2021","2021",35,1098508,3.2,2.2,4.4
,"San Bernardino County, CA","06071","Male","M","2022","2022",25,1101641,2.3,1.5,3.4
,"San Bernardino County, CA","06071","Male","M","2023","2023",34,1098517,3.1,2.1,4.3
,"San Bernardino County, CA","06071","Male","M","2024 ","2024",32,1105573,2.9,2.0,4.1
,"San Diego County, CA","06073","Female","F","2018","2018",13,1660915,0.8,0.4,1.3
,"San Diego County, CA","06073","Female","F","2020","2020",26,1652586,1.6,1.0,2.3
,"San Diego County, CA","06073","Female","F","2021","2021",28,1621107,1.7,1.1,2.5
,"San Diego County, CA","06073","Female","F","2022","2022",24,1615712,1.5,1.0,2.2
,"San Diego County, CA","06073","Female","F","2023","2023",24,1617816,1.5,1.0,2.2
,"San Diego County, CA","06073","Female","F","2024 ","2024",18,1634154,1.1,0.7,1.7
,"San Diego County, CA","06073","Male","M","2018","2018",47,1682449,2.8,2.1,3.7
,"San Diego County, CA","06073","Male","M","2019","2019",48,1680017,2.9,2.1,3.8
,"San Diego County, CA","06073","Male","M","2020","2020",83,1679841,4.9,3.9,6.1
,"San Diego County, CA","06073","Male","M","2021","2021",100,1664962,6.0,4.8,7.2
,"San Diego County, CA","06073","Male","M","2022","2022",91,1660496,5.5,4.4,6.7
,"San Diego County, CA","06073","Male","M","2023","2023",69,1652157,4.2,3.2,5.3
,"San Diego County, CA","06073","Male","M","2024 ","2024",52,1664645,3.1,2.3,4.1
,"San Francisco County, CA","06075","Female","F","2018","2018",28,432942,6.5,4.3,9.3
,"San Francisco County, CA","06075","Female","F","2019","2019",49,432328,11.3,8.4,15.0
,"San Francisco County, CA","06075","Female","F","2020","2020",39,424968,9.2,6.5,12.5
,"San Francisco County, CA","06075","Female","F","2021","2021",38,398294,9.5,6.8,13.1
,"San Francisco County, CA","06075","Female","F","2022","2022",58,393003,14.8,11.2,19.1
,"San Francisco County, CA","06075","Female","F","2023","2023",77,393661,19.6,15.4,24.4
,"San Francisco County, CA","06075","Female","F","2024 ","2024",47,403071,11.7,8.6,15.5
,"San Francisco County, CA","06075","Male","M","2018","2018",68,450363,15.1,11.7,19.1
,"San Francisco County, CA","06075","Male","M","2019","2019",128,449221,28.5,23.6,33.4
,"San Francisco County, CA","06075","Male","M","2020","2020",178,441638,40.3,34.4,46.2
,"San Francisco County, CA","06075","Male","M","2021","2021",163,416907,39.1,33.1,45.1
,"San Francisco County, CA","06075","Male","M","2022","2022",144,415434,34.7,29.0,40.3
,"San Francisco County, CA","06075","Male","M","2023","2023",221,415327,53.2,46.2,60.2
,"San Francisco County, CA","06075","Male","M","2024 ","2024",175,424455,41.2,35.1,47.3
,"San Joaquin County, CA","06077","Female","F","2020","2020",10,384918,2.6,1.2,4.8
,"San Joaquin County, CA","06077","Female","F","2024 ","2024",10,407911,2.5,1.2,4.5
,"San Joaquin County, CA","06077","Male","M","2019","2019",14,380193,3.7,2.0,6.2
,"San Joaquin County, CA","06077","Male","M","2020","2020",20,383049,5.2,3.2,8.1
,"San Joaquin County, CA","06077","Male","M","2021","2021",24,396096,6.1,3.9,9.0
,"San Joaquin County, CA","06077","Male","M","2022","2022",11,397830,2.8,1.4,4.9
,"San Joaquin County, CA","06077","Male","M","2023","2023",37,400848,9.2,6.5,12.7
,"San Joaquin County, CA","06077","Male","M","2024 ","2024",27,408197,6.6,4.4,9.6
,"San Mateo County, CA","06081","Male","M","2019","2019",15,379508,4.0,2.2,6.5
,"San Mateo County, CA","06081","Male","M","2020","2020",20,375847,5.3,3.3,8.2
,"San Mateo County, CA","06081","Male","M","2021","2021",28,367439,7.6,5.1,11.0
,"San Mateo County, CA","06081","Male","M","2022","2022",23,363587,6.3,4.0,9.5
,"San Mateo County, CA","06081","Male","M","2023","2023",19,361456,5.3,3.2,8.2
,"San Mateo County, CA","06081","Male","M","2024 ","2024",20,369719,5.4,3.3,8.4
,"Santa Clara County, CA","06085","Male","M","2019","2019",18,976847,1.8,1.1,2.9
,"Santa Clara County, CA","06085","Male","M","2020","2020",25,967756,2.6,1.7,3.8
