"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Denver County, CO","08031","Male","M","2022","2022",12,361025,3.3,1.7,5.8
,"Denver County, CO","08031","Male","M","2024 ","2024",18,368311,4.9,2.9,7.7
,"El Paso County, CO","08041","Male","M","2024 ","2024",10,382356,2.6,1.3,4.8
,"Fairfield County, CT","09001","Female","F","2020","2020",12,483432,2.5,1.3,4.3
,"Fairfield County, CT","09001","Female","F","2021","2021",14,489296,2.9,1.6,4.8
,"Fairfield County, CT","09001","Female","F","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2018","2018",18,459748,3.9,2.3,6.2
,"Fairfield County, CT","09001","Male","M","2019","2019",14,459410,3.0,1.7,5.1
,"Fairfield County, CT","09001","Male","M","2020","2020",12,458994,2.6,1.4,4.6
,"Fairfield County, CT","09001","Male","M","2021","2021",15,470472,3.2,1.8,5.3
,"Fairfield County, CT","09001","Male","M","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2023","2023",26,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2024 ","2024",18,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Female","F","2020","2020",11,457334,2.4,1.2,4.3
,"Hartford County, CT","09003","Female","F","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Female","F","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Female","F","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Male","M","2018","2018",13,434117,3.0,1.6,5.1
,"Hartford County, CT","09003","Male","M","2020","2020",12,431892,2.8,1.4,4.9
,"Hartford County, CT","09003","Male","M","2021","2021",16,438422,3.6,2.1,5.9
,"Hartford County, CT","09003","Male","M","2022","2022",20,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Male","M","2023","2023",20,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Male","M","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Female","F","2019","2019",11,442668,2.5,1.2,4.4
,"New Haven County, CT","09009","Female","F","2020","2020",11,441551,2.5,1.2,4.5
,"New Haven County, CT","09009","Female","F","2021","2021",17,445297,3.8,2.2,6.1
,"New Haven County, CT","09009","Female","F","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Female","F","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Female","F","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Male","M","2018","2018",13,413494,3.1,1.7,5.4
,"New Haven County, CT","09009","Male","M","2019","2019",28,412089,6.8,4.5,9.8
,"New Haven County, CT","09009","Male","M","2020","2020",23,410397,5.6,3.6,8.4
,"New Haven County, CT","09009","Male","M","2021","2021",27,418403,6.5,4.3,9.4
,"New Haven County, CT","09009","Male","M","2022","2022",38,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Male","M","2023","2023",29,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Male","M","2024 ","2024",26,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","Male","M","2020","2020",10,132685,7.5,3.6,13.9
,"New Castle County, DE","10003","Female","F","2021","2021",11,293432,3.7,1.9,6.7
,"New Castle County, DE","10003","Female","F","2023","2023",14,298136,4.7,2.6,7.9
,"New Castle County, DE","10003","Male","M","2019","2019",10,270456,3.7,1.8,6.8
,"New Castle County, DE","10003","Male","M","2020","2020",11,271826,4.0,2.0,7.2
,"New Castle County, DE","10003","Male","M","2021","2021",18,278276,6.5,3.8,10.2
,"New Castle County, DE","10003","Male","M","2023","2023",14,280456,5.0,2.7,8.4
,"New Castle County, DE","10003","Male","M","2024 ","2024",14,284999,4.9,2.7,8.2
,"Sussex County, DE","10005","Male","M","2022","2022",10,124347,8.0,3.9,14.8
,"District of Columbia, DC","11001","Female","F","2020","2020",10,374884,2.7,1.3,4.9
,"District of Columbia, DC","11001","Male","M","2020","2020",20,337932,5.9,3.6,9.1
,"District of Columbia, DC","11001","Male","M","2021","2021",14,318904,4.4,2.4,7.4
,"District of Columbia, DC","11001","Male","M","2022","2022",14,319682,4.4,2.4,7.3
,"District of Columbia, DC","11001","Male","M","2023","2023",11,321715,3.4,1.7,6.1
,"District of Columbia, DC","11001","Male","M","2024 ","2024",13,332803,3.9,2.1,6.7
,"Duval County, FL","12031","Female","F","2020","2020",13,498477,2.6,1.4,4.5
,"Duval County, FL","12031","Female","F","2022","2022",13,522642,2.5,1.3,4.3
,"Duval County, FL","12031","Male","M","2019","2019",11,464225,2.4,1.2,4.2
,"Duval County, FL","12031","Male","M","2020","2020",10,468251,2.1,1.0,3.9
,"Duval County, FL","12031","Male","M","2021","2021",11,486532,2.3,1.1,4.0
,"Duval County, FL","12031","Male","M","2023","2023",10,499527,2.0,1.0,3.7
,"Duval County, FL","12031","Male","M","2024 ","2024",11,511403,2.2,1.1,3.8
,"Hillsborough County, FL","12057","Male","M","2020","2020",10,733475,1.4,0.7,2.5
,"Hillsborough County, FL","12057","Male","M","2021","2021",10,727733,1.4,0.7,2.5
,"Hillsborough County, FL","12057","Male","M","2023","2023",13,756860,1.7,0.9,2.9
,"Cook County, IL","17031","Female","F","2018","2018",28,2664412,1.1,0.7,1.5
,"Cook County, IL","17031","Female","F","2019","2019",28,2649361,1.1,0.7,1.5
,"Cook County, IL","17031","Female","F","2020","2020",52,2627205,2.0,1.5,2.6
,"Cook County, IL","17031","Female","F","2021","2021",39,2647332,1.5,1.0,2.0
,"Cook County, IL","17031","Female","F","2022","2022",35,2612548,1.3,0.9,1.9
,"Cook County, IL","17031","Female","F","2023","2023",35,2605723,1.3,0.9,1.9
,"Cook County, IL","17031","Female","F","2024 ","2024",31,2653971,1.2,0.8,1.7
,"Cook County, IL","17031","Male","M","2018","2018",51,2516081,2.0,1.5,2.7
,"Cook County, IL","17031","Male","M","2019","2019",63,2500872,2.5,1.9,3.2
,"Cook County, IL","17031","Male","M","2020","2020",105,2481079,4.2,3.4,5.0
,"Cook County, IL","17031","Male","M","2021","2021",72,2525814,2.9,2.2,3.6
,"Cook County, IL","17031","Male","M","2022","2022",71,2496744,2.8,2.2,3.6
,"Cook County, IL","17031","Male","M","2023","2023",64,2481349,2.6,2.0,3.3
,"Cook County, IL","17031","Male","M","2024 ","2024",51,2528646,2.0,1.5,2.7
,"Marion County, IN","18097","Male","M","2024 ","2024",10,475062,2.1,1.0,3.9
,"Anne Arundel County, MD","24003","Female","F","2021","2021",14,296729,4.7,2.6,7.9
,"Anne Arundel County, MD","24003","Male","M","2019","2019",10,286470,3.5,1.7,6.4
,"Anne Arundel County, MD","24003","Male","M","2020","2020",13,288257,4.5,2.4,7.7
,"Anne Arundel County, MD","24003","Male","M","2021","2021",11,293607,3.7,1.9,6.7
,"Anne Arundel County, MD","24003","Male","M","2022","2022",11,294149,3.7,1.9,6.7
,"Anne Arundel County, MD","24003","Male","M","2023","2023",15,294261,5.1,2.9,8.4
,"Anne Arundel County, MD","24003","Male","M","2024 ","2024",12,299042,4.0,2.1,7.0
,"Baltimore County, MD","24005","Female","F","2018","2018",15,435721,3.4,1.9,5.7
,"Baltimore County, MD","24005","Female","F","2019","2019",15,435635,3.4,1.9,5.7
,"Baltimore County, MD","24005","Female","F","2020","2020",21,435594,4.8,3.0,7.4
,"Baltimore County, MD","24005","Female","F","2021","2021",22,445471,4.9,3.1,7.5
,"Baltimore County, MD","24005","Female","F","2022","2022",15,443681,3.4,1.9,5.6
,"Baltimore County, MD","24005","Female","F","2023","2023",12,443619,2.7,1.4,4.7
,"Baltimore County, MD","24005","Female","F","2024 ","2024",15,448419,3.3,1.9,5.5
,"Baltimore County, MD","24005","Male","M","2018","2018",27,392710,6.9,4.5,10.0
,"Baltimore County, MD","24005","Male","M","2019","2019",24,391735,6.1,3.9,9.1
,"Baltimore County, MD","24005","Male","M","2020","2020",27,390423,6.9,4.6,10.1
,"Baltimore County, MD","24005","Male","M","2021","2021",25,403845,6.2,4.0,9.1
,"Baltimore County, MD","24005","Male","M","2022","2022",18,402480,4.5,2.7,7.1
,"Baltimore County, MD","24005","Male","M","2023","2023",19,401084,4.7,2.9,7.4
,"Baltimore County, MD","24005","Male","M","2024 ","2024",19,404006,4.7,2.8,7.3
,"Harford County, MD","24025","Male","M","2022","2022",16,130118,12.3,7.0,20.0
,"Baltimore city, MD","24510","Female","F","2018","2018",31,320120,9.7,6.6,13.7
,"Baltimore city, MD","24510","Female","F","2019","2019",28,315367,8.9,5.9,12.8
,"Baltimore city, MD","24510","Female","F","2020","2020",37,311990,11.9,8.4,16.3
,"Baltimore city, MD","24510","Female","F","2021","2021",45,305846,14.7,10.7,19.7
,"Baltimore city, MD","24510","Female","F","2022","2022",41,304930,13.4,9.6,18.2
,"Baltimore city, MD","24510","Female","F","2023","2023",33,303219,10.9,7.5,15.3
,"Baltimore city, MD","24510","Female","F","2024 ","2024",39,304881,12.8,9.1,17.5
,"Baltimore city, MD","24510","Male","M","2018","2018",42,282375,14.9,10.7,20.1
,"Baltimore city, MD","24510","Male","M","2019","2019",47,278123,16.9,12.4,22.5
,"Baltimore city, MD","24510","Male","M","2020","2020",74,274141,27.0,21.2,33.9
,"Baltimore city, MD","24510","Male","M","2021","2021",78,270652,28.8,22.8,36.0
,"Baltimore city, MD","24510","Male","M","2022","2022",54,265001,20.4,15.3,26.6
,"Baltimore city, MD","24510","Male","M","2023","2023",49,262020,18.7,13.8,24.7
,"Baltimore city, MD","24510","Male","M","2024 ","2024",65,263390,24.7,19.0,31.5
,"Bristol County, MA","25005","Female","F","2021","2021",11,297124,3.7,1.8,6.6
,"Bristol County, MA","25005","Female","F","2023","2023",11,297488,3.7,1.8,6.6
,"Bristol County, MA","25005","Male","M","2021","2021",12,283040,4.2,2.2,7.4
,"Bristol County, MA","25005","Male","M","2023","2023",15,284353,5.3,3.0,8.7
,"Bristol County, MA","25005","Male","M","2024 ","2024",12,288225,4.2,2.2,7.3
,"Essex County, MA","25009","Female","F","2020","2020",10,410136,2.4,1.2,4.5
,"Essex County, MA","25009","Male","M","2020","2020",11,381127,2.9,1.4,5.2
,"Essex County, MA","25009","Male","M","2021","2021",13,391572,3.3,1.8,5.7
,"Essex County, MA","25009","Male","M","2024 ","2024",13,400089,3.2,1.7,5.6
,"Hampden County, MA","25013","Male","M","2022","2022",12,224729,5.3,2.8,9.3
,"Hampden County, MA","25013","Male","M","2023","2023",11,223802,4.9,2.5,8.8
,"Hampden County, MA","25013","Male","M","2024 ","2024",10,225946,4.4,2.1,8.1
,"Middlesex County, MA","25017","Female","F","2021","2021",14,817575,1.7,0.9,2.9
,"Middlesex County, MA","25017","Female","F","2022","2022",11,817719,1.3,0.7,2.4
,"Middlesex County, MA","25017","Male","M","2018","2018",11,790488,1.4,0.7,2.5
,"Middlesex County, MA","25017","Male","M","2021","2021",10,797167,1.3,0.6,2.3
,"Middlesex County, MA","25017","Male","M","2022","2022",17,799386,2.1,1.2,3.4
,"Middlesex County, MA","25017","Male","M","2023","2023",14,801610,1.7,1.0,2.9
,"Middlesex County, MA","25017","Male","M","2024 ","2024",13,824812,1.6,0.8,2.7
,"Norfolk County, MA","25021","Male","M","2023","2023",13,352078,3.7,2.0,6.3
,"Suffolk County, MA","25025","Male","M","2020","2020",15,386458,3.9,2.2,6.4
,"Suffolk County, MA","25025","Male","M","2022","2022",15,370584,4.0,2.3,6.7
,"Suffolk County, MA","25025","Male","M","2023","2023",13,370199,3.5,1.9,6.0
,"Suffolk County, MA","25025","Male","M","2024 ","2024",13,382304,3.4,1.8,5.8
,"Worcester County, MA","25027","Male","M","2023","2023",11,430784,2.6,1.3,4.6
,"Wayne County, MI","26163","Female","F","2018","2018",17,909284,1.9,1.1,3.0
,"Wayne County, MI","26163","Female","F","2021","2021",14,915598,1.5,0.8,2.6
,"Wayne County, MI","26163","Male","M","2018","2018",16,844609,1.9,1.1,3.1
,"Wayne County, MI","26163","Male","M","2019","2019",16,842466,1.9,1.1,3.1
,"Wayne County, MI","26163","Male","M","2021","2021",16,859218,1.9,1.1,3.0
,"Hennepin County, MN","27053","Female","F","2020","2020",14,640450,2.2,1.2,3.7
,"Hennepin County, MN","27053","Male","M","2018","2018",10,623200,1.6,0.8,3.0
,"Hennepin County, MN","27053","Male","M","2019","2019",12,626750,1.9,1.0,3.3
,"Hennepin County, MN","27053","Male","M","2020","2020",16,627958,2.5,1.5,4.1
,"Hennepin County, MN","27053","Male","M","2021","2021",19,630459,3.0,1.8,4.7
,"Hennepin County, MN","27053","Male","M","2022","2022",16,627886,2.5,1.5,4.1
,"Hennepin County, MN","27053","Male","M","2024 ","2024",11,631163,1.7,0.9,3.1
