"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alameda County, CA","06001","Male","M","2022","2022",26,809336,3.2,2.1,4.7
,"Alameda County, CA","06001","Male","M","2023","2023",26,804487,3.2,2.1,4.7
,"Alameda County, CA","06001","Male","M","2024 ","2024",21,818318,2.6,1.6,3.9
,"Butte County, CA","06007","Male","M","2021","2021",16,103590,15.4,8.8,25.1
,"Butte County, CA","06007","Male","M","2023","2023",12,102816,11.7,6.0,20.4
,"Contra Costa County, CA","06013","Female","F","2018","2018",20,587732,3.4,2.1,5.3
,"Contra Costa County, CA","06013","Female","F","2019","2019",13,589339,2.2,1.2,3.8
,"Contra Costa County, CA","06013","Female","F","2022","2022",11,587081,1.9,0.9,3.4
,"Contra Costa County, CA","06013","Male","M","2018","2018",20,562483,3.6,2.2,5.5
,"Contra Costa County, CA","06013","Male","M","2019","2019",14,564187,2.5,1.4,4.2
,"Contra Costa County, CA","06013","Male","M","2020","2020",16,563379,2.8,1.6,4.6
,"Contra Costa County, CA","06013","Male","M","2021","2021",12,570925,2.1,1.1,3.7
,"Contra Costa County, CA","06013","Male","M","2022","2022",13,569885,2.3,1.2,3.9
,"Contra Costa County, CA","06013","Male","M","2023","2023",11,567518,1.9,1.0,3.5
,"El Dorado County, CA","06017","Male","M","2020","2020",10,95954,10.4,5.0,19.2
,"El Dorado County, CA","06017","Male","M","2021","2021",12,96729,12.4,6.4,21.7
,"Fresno County, CA","06019","Female","F","2018","2018",10,498384,2.0,1.0,3.7
,"Fresno County, CA","06019","Female","F","2024 ","2024",10,511028,2.0,0.9,3.6
,"Fresno County, CA","06019","Male","M","2018","2018",12,496016,2.4,1.3,4.2
,"Fresno County, CA","06019","Male","M","2019","2019",12,498648,2.4,1.2,4.2
,"Fresno County, CA","06019","Male","M","2021","2021",12,508597,2.4,1.2,4.1
,"Fresno County, CA","06019","Male","M","2022","2022",15,510159,2.9,1.6,4.8
,"Fresno County, CA","06019","Male","M","2023","2023",14,509699,2.7,1.5,4.6
,"Fresno County, CA","06019","Male","M","2024 ","2024",20,513097,3.9,2.4,6.0
,"Humboldt County, CA","06023","Male","M","2020","2020",10,66831,15.0,7.2,27.5
,"Humboldt County, CA","06023","Male","M","2021","2021",12,67757,17.7,9.2,30.9
,"Kern County, CA","06029","Female","F","2018","2018",16,437074,3.7,2.1,5.9
,"Kern County, CA","06029","Female","F","2019","2019",13,439168,3.0,1.6,5.1
,"Kern County, CA","06029","Female","F","2020","2020",19,440749,4.3,2.6,6.7
,"Kern County, CA","06029","Female","F","2021","2021",21,446072,4.7,2.9,7.2
,"Kern County, CA","06029","Female","F","2022","2022",21,447990,4.7,2.9,7.2
,"Kern County, CA","06029","Female","F","2023","2023",12,450371,2.7,1.4,4.7
,"Kern County, CA","06029","Female","F","2024 ","2024",14,454664,3.1,1.7,5.2
,"Kern County, CA","06029","Male","M","2018","2018",29,459690,6.3,4.2,9.1
,"Kern County, CA","06029","Male","M","2019","2019",21,461034,4.6,2.8,7.0
,"Kern County, CA","06029","Male","M","2020","2020",39,460613,8.5,6.0,11.6
,"Kern County, CA","06029","Male","M","2021","2021",44,471601,9.3,6.8,12.5
,"Kern County, CA","06029","Male","M","2022","2022",28,468118,6.0,4.0,8.6
,"Kern County, CA","06029","Male","M","2023","2023",22,463449,4.7,3.0,7.2
,"Kern County, CA","06029","Male","M","2024 ","2024",20,467865,4.3,2.6,6.6
,"Los Angeles County, CA","06037","Female","F","2018","2018",61,5123623,1.2,0.9,1.5
,"Los Angeles County, CA","06037","Female","F","2019","2019",38,5090066,0.7,0.5,1.0
,"Los Angeles County, CA","06037","Female","F","2020","2020",53,5041632,1.1,0.8,1.4
,"Los Angeles County, CA","06037","Female","F","2021","2021",55,4958742,1.1,0.8,1.4
,"Los Angeles County, CA","06037","Female","F","2022","2022",53,4894858,1.1,0.8,1.4
,"Los Angeles County, CA","06037","Female","F","2023","2023",38,4882779,0.8,0.6,1.1
,"Los Angeles County, CA","06037","Female","F","2024 ","2024",37,4931259,0.8,0.5,1.0
,"Los Angeles County, CA","06037","Male","M","2018","2018",124,4981895,2.5,2.1,2.9
,"Los Angeles County, CA","06037","Male","M","2019","2019",122,4949041,2.5,2.0,2.9
,"Los Angeles County, CA","06037","Male","M","2020","2020",103,4901414,2.1,1.7,2.5
,"Los Angeles County, CA","06037","Male","M","2021","2021",91,4870802,1.9,1.5,2.3
,"Los Angeles County, CA","06037","Male","M","2022","2022",94,4826280,1.9,1.6,2.4
,"Los Angeles County, CA","06037","Male","M","2023","2023",76,4780566,1.6,1.3,2.0
,"Los Angeles County, CA","06037","Male","M","2024 ","2024",76,4825920,1.6,1.2,2.0
,"Orange County, CA","06059","Female","F","2018","2018",39,1613167,2.4,1.7,3.3
,"Orange County, CA","06059","Female","F","2019","2019",40,1608867,2.5,1.8,3.4
,"Orange County, CA","06059","Female","F","2020","2020",33,1604655,2.1,1.4,2.9
,"Orange County, CA","06059","Female","F","2021","2021",45,1596464,2.8,2.1,3.8
,"Orange County, CA","06059","Female","F","2022","2022",38,1586532,2.4,1.7,3.3
,"Orange County, CA","06059","Female","F","2023","2023",23,1583994,1.5,0.9,2.2
,"Orange County, CA","06059","Female","F","2024 ","2024",22,1601722,1.4,0.9,2.1
,"Orange County, CA","06059","Male","M","2018","2018",59,1572801,3.8,2.9,4.8
,"Orange County, CA","06059","Male","M","2019","2019",50,1566825,3.2,2.4,4.2
,"Orange County, CA","06059","Male","M","2020","2020",83,1562202,5.3,4.2,6.6
,"Orange County, CA","06059","Male","M","2021","2021",78,1571345,5.0,3.9,6.2
,"Orange County, CA","06059","Male","M","2022","2022",58,1564652,3.7,2.8,4.8
,"Orange County, CA","06059","Male","M","2023","2023",44,1551761,2.8,2.1,3.8
,"Orange County, CA","06059","Male","M","2024 ","2024",47,1568713,3.0,2.2,4.0
,"Placer County, CA","06061","Male","M","2022","2022",11,205654,5.3,2.7,9.6
,"Riverside County, CA","06065","Female","F","2018","2018",10,1229383,0.8,0.4,1.5
,"Riverside County, CA","06065","Female","F","2019","2019",19,1238534,1.5,0.9,2.4
,"Riverside County, CA","06065","Female","F","2020","2020",40,1246161,3.2,2.3,4.4
,"Riverside County, CA","06065","Female","F","2021","2021",35,1223670,2.9,2.0,4.0
,"Riverside County, CA","06065","Female","F","2022","2022",27,1229979,2.2,1.4,3.2
,"Riverside County, CA","06065","Female","F","2023","2023",19,1241981,1.5,0.9,2.4
,"Riverside County, CA","06065","Female","F","2024 ","2024",17,1261129,1.3,0.8,2.2
,"Riverside County, CA","06065","Male","M","2018","2018",14,1221375,1.1,0.6,1.9
,"Riverside County, CA","06065","Male","M","2019","2019",27,1232012,2.2,1.4,3.2
,"Riverside County, CA","06065","Male","M","2020","2020",29,1243027,2.3,1.6,3.4
,"Riverside County, CA","06065","Male","M","2021","2021",31,1234725,2.5,1.7,3.6
,"Riverside County, CA","06065","Male","M","2022","2022",34,1243923,2.7,1.9,3.8
,"Riverside County, CA","06065","Male","M","2023","2023",32,1250461,2.6,1.8,3.6
,"Riverside County, CA","06065","Male","M","2024 ","2024",29,1268804,2.3,1.5,3.3
,"Sacramento County, CA","06067","Female","F","2018","2018",10,788003,1.3,0.6,2.3
,"Sacramento County, CA","06067","Female","F","2019","2019",19,793161,2.4,1.4,3.7
,"Sacramento County, CA","06067","Female","F","2020","2020",10,795947,1.3,0.6,2.3
,"Sacramento County, CA","06067","Female","F","2021","2021",29,806810,3.6,2.4,5.2
,"Sacramento County, CA","06067","Female","F","2022","2022",20,802454,2.5,1.5,3.8
,"Sacramento County, CA","06067","Male","M","2018","2018",17,752972,2.3,1.3,3.6
,"Sacramento County, CA","06067","Male","M","2019","2019",29,758897,3.8,2.6,5.5
,"Sacramento County, CA","06067","Male","M","2020","2020",21,763199,2.8,1.7,4.2
,"Sacramento County, CA","06067","Male","M","2021","2021",38,782111,4.9,3.4,6.7
,"Sacramento County, CA","06067","Male","M","2022","2022",23,781715,2.9,1.9,4.4
,"Sacramento County, CA","06067","Male","M","2023","2023",15,779811,1.9,1.1,3.2
,"Sacramento County, CA","06067","Male","M","2024 ","2024",21,793210,2.6,1.6,4.0
,"San Bernardino County, CA","06071","Male","M","2018","2018",10,1080950,0.9,0.4,1.7
,"San Bernardino County, CA","06071","Male","M","2019","2019",12,1085607,1.1,0.6,1.9
,"San Bernardino County, CA","06071","Male","M","2020","2020",16,1090578,1.5,0.8,2.4
,"San Bernardino County, CA","06071","Male","M","2021","2021",10,1098508,0.9,0.4,1.7
,"San Bernardino County, CA","06071","Male","M","2024 ","2024",15,1105573,1.4,0.8,2.2
,"San Diego County, CA","06073","Female","F","2018","2018",48,1660915,2.9,2.1,3.8
,"San Diego County, CA","06073","Female","F","2019","2019",37,1658313,2.2,1.6,3.1
,"San Diego County, CA","06073","Female","F","2020","2020",38,1652586,2.3,1.6,3.2
,"San Diego County, CA","06073","Female","F","2021","2021",30,1621107,1.9,1.2,2.6
,"San Diego County, CA","06073","Female","F","2022","2022",33,1615712,2.0,1.4,2.9
,"San Diego County, CA","06073","Female","F","2023","2023",22,1617816,1.4,0.9,2.1
,"San Diego County, CA","06073","Female","F","2024 ","2024",22,1634154,1.3,0.8,2.0
,"San Diego County, CA","06073","Male","M","2018","2018",55,1682449,3.3,2.5,4.3
,"San Diego County, CA","06073","Male","M","2019","2019",45,1680017,2.7,2.0,3.6
,"San Diego County, CA","06073","Male","M","2020","2020",51,1679841,3.0,2.3,4.0
,"San Diego County, CA","06073","Male","M","2021","2021",48,1664962,2.9,2.1,3.8
,"San Diego County, CA","06073","Male","M","2022","2022",34,1660496,2.0,1.4,2.9
,"San Diego County, CA","06073","Male","M","2023","2023",46,1652157,2.8,2.0,3.7
,"San Diego County, CA","06073","Male","M","2024 ","2024",25,1664645,1.5,1.0,2.2
,"San Francisco County, CA","06075","Female","F","2018","2018",15,432942,3.5,1.9,5.7
,"San Francisco County, CA","06075","Female","F","2019","2019",17,432328,3.9,2.3,6.3
,"San Francisco County, CA","06075","Female","F","2020","2020",16,424968,3.8,2.2,6.1
,"San Francisco County, CA","06075","Female","F","2022","2022",10,393003,2.5,1.2,4.7
