"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Monongalia County, WV","54061","2021","2021",10,106387,9.4,4.5,17.3
,"Monongalia County, WV","54061","2022","2022",11,106869,10.3,5.1,18.4
,"Monongalia County, WV","54061","2023","2023",13,107718,12.1,6.4,20.6
,"Ohio County, WV","54069","2021","2021",11,41776,26.3,13.1,47.1
,"Ohio County, WV","54069","2022","2022",11,41447,26.5,13.2,47.5
,"Raleigh County, WV","54081","2021","2021",10,73771,13.6,6.5,24.9
,"Raleigh County, WV","54081","2023","2023",16,72356,22.1,12.6,35.9
,"Brown County, WI","55009","2022","2022",12,270036,4.4,2.3,7.8
,"Brown County, WI","55009","2023","2023",12,271417,4.4,2.3,7.7
,"Dane County, WI","55025","2018","2018",18,542364,3.3,2.0,5.2
,"Dane County, WI","55025","2019","2019",29,546695,5.3,3.6,7.6
,"Dane County, WI","55025","2020","2020",30,552536,5.4,3.7,7.8
,"Dane County, WI","55025","2021","2021",37,563951,6.6,4.6,9.0
,"Dane County, WI","55025","2022","2022",46,568203,8.1,5.9,10.8
,"Dane County, WI","55025","2023","2023",61,575347,10.6,8.1,13.6
,"Dane County, WI","55025","2024 ","2024",47,588347,8.0,5.9,10.6
,"Fond du Lac County, WI","55039","2022","2022",10,103836,9.6,4.6,17.7
,"Fond du Lac County, WI","55039","2023","2023",15,103948,14.4,8.1,23.8
,"Kenosha County, WI","55059","2018","2018",11,169290,6.5,3.2,11.6
,"Kenosha County, WI","55059","2020","2020",16,169671,9.4,5.4,15.3
,"Kenosha County, WI","55059","2021","2021",19,168732,11.3,6.8,17.6
,"Kenosha County, WI","55059","2022","2022",21,167817,12.5,7.7,19.1
,"Kenosha County, WI","55059","2023","2023",30,167488,17.9,12.1,25.6
,"Kenosha County, WI","55059","2024 ","2024",17,168754,10.1,5.9,16.1
,"Milwaukee County, WI","55079","2018","2018",158,948201,16.7,14.1,19.3
,"Milwaukee County, WI","55079","2019","2019",177,945726,18.7,16.0,21.5
,"Milwaukee County, WI","55079","2020","2020",212,945016,22.4,19.4,25.5
,"Milwaukee County, WI","55079","2021","2021",305,928059,32.9,29.2,36.6
,"Milwaukee County, WI","55079","2022","2022",385,918661,41.9,37.7,46.1
,"Milwaukee County, WI","55079","2023","2023",426,916205,46.5,42.1,50.9
,"Milwaukee County, WI","55079","2024 ","2024",299,924740,32.3,28.7,36.0
,"Racine County, WI","55101","2019","2019",19,196311,9.7,5.8,15.1
,"Racine County, WI","55101","2020","2020",20,195802,10.2,6.2,15.8
,"Racine County, WI","55101","2021","2021",35,196896,17.8,12.4,24.7
,"Racine County, WI","55101","2022","2022",22,195846,11.2,7.0,17.0
,"Racine County, WI","55101","2023","2023",45,196613,22.9,16.7,30.6
,"Racine County, WI","55101","2024 ","2024",23,198651,11.6,7.3,17.4
,"Rock County, WI","55105","2018","2018",11,163129,6.7,3.4,12.1
,"Rock County, WI","55105","2021","2021",29,164381,17.6,11.8,25.3
,"Rock County, WI","55105","2022","2022",31,164060,18.9,12.8,26.8
,"Rock County, WI","55105","2023","2023",18,164278,11.0,6.5,17.3
,"Rock County, WI","55105","2024 ","2024",18,165461,10.9,6.4,17.2
,"Sheboygan County, WI","55117","2022","2022",11,117841,9.3,4.7,16.7
,"Walworth County, WI","55127","2021","2021",13,106799,12.2,6.5,20.8
,"Walworth County, WI","55127","2022","2022",10,105380,9.5,4.6,17.5
,"Washington County, WI","55131","2022","2022",11,137688,8.0,4.0,14.3
,"Washington County, WI","55131","2024 ","2024",10,138727,7.2,3.5,13.3
,"Waukesha County, WI","55133","2018","2018",12,403072,3.0,1.5,5.2
,"Waukesha County, WI","55133","2019","2019",12,404198,3.0,1.5,5.2
,"Waukesha County, WI","55133","2020","2020",28,406172,6.9,4.6,10.0
,"Waukesha County, WI","55133","2021","2021",23,408756,5.6,3.6,8.4
,"Waukesha County, WI","55133","2022","2022",28,410434,6.8,4.5,9.9
,"Waukesha County, WI","55133","2023","2023",34,412591,8.2,5.7,11.5
,"Waukesha County, WI","55133","2024 ","2024",28,417029,6.7,4.5,9.7
,"Winnebago County, WI","55139","2022","2022",11,170718,6.4,3.2,11.5
,"Winnebago County, WI","55139","2023","2023",12,171735,7.0,3.6,12.2
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.5 (Cocaine)"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); Y10 (Poisoning by and"
"exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent); Y11 (Poisoning by and exposure to"
"antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent); Y12"
"(Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent);"
"Y13 (Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent); Y14 (Poisoning by"
"and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent)"
"Group By: County; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Feb 18, 2026 10:52:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Feb 18, 2026 10:52:37 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"2. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"3. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"4. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Assurance of Confidentiality."
"5. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Confidence-Intervals."
"6. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
